x,y
0.251008064516129,0.5010822510822511
0.22877039459296555,0.6554647417851143
0.23532651823091214,0.807418704119406
0.3588699988551923,0.7892329019692226
0.47368989846731446,0.7448789997676794
0.60508585310437,0.8296781202811337
0.7556083553720727,0.8514037801866017
0.8024193548387096,0.7081492781779359
0.7118869414985505,0.5839931939256536
0.6973903997502163,0.4336968661360733
0.7799521796456991,0.3001610700565172
0.7462570238200624,0.17370129870129872
0.6195547623172135,0.24729663931456197
0.49513959696706195,0.3265692640692641
0.4148926340928977,0.1946937078358323
0.3115811950301469,0.09174473632843773
0.2540322580645161,0.20814576181760924
0.1633791297379562,0.31482862177578186
0.08556422136153256,0.42483647561136484
0.22379032258064516,0.46996753246753253
