x,y
0.78125,0.7283549783549784
0.7059396300376057,0.839327536866912
0.5898394837593184,0.9096320346320347
0.45226842439797205,0.9177489177489179
0.3138654799486491,0.9177489177489179
0.19350474402783424,0.8595486377675945
0.14033765811545484,0.7332858097288875
0.11564298897487062,0.5975474436937633
0.10987903225806453,0.459550438804895
0.13831517295468912,0.3260047305978041
0.21771858165461144,0.21430138460404866
0.3389143692697888,0.15266401030991936
0.47421403577287125,0.1371753246753247
0.5798201379431909,0.2161298074665729
0.5821388273283677,0.34961656734377494
0.4827674194290992,0.4362753245756678
0.44254032258064513,0.5639065277833162
0.5149185738862458,0.6647727272727273
0.6494455108259636,0.6565431336853554
0.7661290322580645,0.6810064935064936
